Address,Post Code,City,Type of property,Property Subtype,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Terrace,Terrace Area,Garden,Garden Area,Number of facades,Swimming pool,State of the building
,,,apartment,Flat,ne,sale,,,No,No,No,,No,,,No,
,,,apartment,Flat,ne,sale,,,No,No,No,,No,,,No,
,,,apartment,Flat,ne,sale,,,No,No,No,,No,,,No,
,,,apartment,Flat,ne,sale,,,No,No,No,,No,,,No,
 Rue des Carriers 42  ,5300,Seilles,apartment,Flat,650,rent,2,70 m²,No,Yes,No,,No,,,No,
 Glazeniersstraat 43  ,8800,Roeselare,house,Residence,191.000,sale,3,129 m²,No,No,Yes,Yes,Yes,Yes,Yes,No,1965
,9300,Aalst,house,Residence,279.000,sale,3,183 m²,No,No,No,,No,,,No,
 Hovaerestraat 21  ,8680,Koekelare,house,Residence,225.000,sale,4,,Yes,No,No,,No,,No,No,
,6061,Montignies-sur-Sambre,house,Residence,126.000,sale,2,84 m²,No,No,Yes,,No,,Yes,No,
,1030,Schaarbeek,house,Residence,349.990,sale,3,180 m²,No,No,No,,No,,Yes,No,1932
,3090,Overijse,house,Villa,1.800.000,sale,15,730 m²,No,Yes,No,,No,,Yes,No,
 Broekstraat 56  ,1831,Diegem,house,Residence,390.000,sale,5,204 m²,Yes,Yes,No,,No,,900 m²,No,To be agreed
 Molenstraat 1  ,2870,Puurs,house,Residence,450.000,sale,4,285 m²,No,Yes,No,,No,,1148 m²,No,On contract
 Wichelsesteenweg 121  ,9340,Lede,house,Residence,199.000,sale,4,185 m²,Yes,Yes,Yes,,No,,Yes,No,No
 Jaak van Haesendonckstraat 59  ,2180,Ekeren,house,Residence,339.000,sale,3,177 m²,No,Yes,Yes,Yes,No,,Yes,No,
,6000,Charleroi,house,Residence,175.000,sale,5,160 m²,No,No,Yes,Yes,Yes,Yes,,No,
 Rue du Ch?taignier 9  ,6960,Harre,house,Residence,150.000,sale,4,103 m²,Yes,No,No,,No,,800 m²,No,
 Brandstraat 48 b ,9255,Buggenhout,house,Residence,386.859,sale,3,,No,No,No,,No,,4,No,
 Leeuwbeekstraat 16  ,3454,Rummen,house,Residence,279.000,sale,150 m²,150 m²,No,No,No,,No,,,No,1980
 Achterstraat 90  ,9450,Haaltert,house,Residence,139.000,sale,3,,Yes,Yes,No,,No,,Yes,No,
 Joseph Matthieulaan 9  ,8434,Lombardsijde,house,Residence,349.000,sale,6,216 m²,Yes,No,Yes,,Yes,,,No,
,1083,Ganshoren,apartment,Flat,199.000,sale,3,114 m²,No,Yes,Yes,Yes,No,,,No,1970
 Rue des Chasseurs Ardennais 5 002 ,6880,Bertrix,apartment,Ground,230.000,sale,2,103 m²,Yes,No,Yes,Yes,No,,,No,No
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,287.213,sale,2,91 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,270.250,sale,2,89 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,276.000,sale,2,91 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,221.850,sale,1,71 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,274.350,sale,2,88 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,278.400,sale,2,91 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,225.675,sale,1,71 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,269.700,sale,2,88 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,270.563,sale,2,85 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,309.413,sale,2,99 m²,No,No,Yes,Yes,No,,Yes,No,
